product_code,price_inr,year
ARCHDDE20D,2750,2024
ARCH158F41,5740,2024
ARCHAFF0E4,4610,2024
ARCH6B94F7,3910,2024
ARCH5D1FE7,1610,2024
ARCH7B49A9,1610,2024
ARCH497D34,1100,2024
ARCHE71D79,5830,2024
ARCHDD8749,3930,2024
BADMC045D4,4500,2024
BADM88C384,790,2024
BADMA5EBA3,5910,2024
BADM4BAB38,6460,2024
BADMDC6AB1,1820,2024
BADM50C510,1660,2024
BADM2459FB,1670,2024
BADM9DDCED,2320,2024
BADMD11DA6,3510,2024
BADMDA1B05,3010,2024
BADM376040,2250,2024
BADM03A202,3980,2024
BADME151E6,1430,2024
BADMDA5EC8,2820,2024
BADM48A260,2260,2024
BADM8FFE12,3140,2024
BADM1B8332,4910,2024
BADM7E90FB,1750,2024
BASK7F5383,3660,2024
BASKEE612D,4130,2024
BASK4C69DF,830,2024
BASK9E4294,4230,2024
