date,product_code,customer_code,sold_quantity
2024-01-01,ARCHDDE20D,70002017,161
2024-01-01,ARCH158F41,70002017,133
2024-01-01,ARCHAFF0E4,70002017,76
2024-01-01,ARCH6B94F7,70002017,92
2024-01-01,ARCH5D1FE7,70002017,117
2024-01-01,ARCH7B49A9,70002017,36
2024-01-01,ARCH497D34,70002017,98
2024-01-01,ARCHE71D79,70002017,156
2024-01-01,BADM88C384,70002017,28
2024-01-01,BADMA5EBA3,70002017,33
2024-01-01,BADM4BAB38,70002017,22
2024-01-01,BADMDC6AB1,70002017,26
2024-01-01,BADM50C510,70002017,15
2024-01-01,BADM2459FB,70002017,21
2024-01-01,BADM9DDCED,70002017,68
2024-01-01,BADMD11DA6,70002017,123
2024-01-01,BADMDA1B05,70002017,54
2024-01-01,BADM376040,70002017,83
2024-01-01,BADM03A202,70002017,14
2024-01-01,BADME151E6,70002017,109
2024-01-01,BADMDA5EC8,70002017,118
2024-01-01,BADM48A260,70002017,53
2024-01-01,BADM8FFE12,70002017,32
2024-01-01,BADM1B8332,70002017,113
2024-01-01,BADM7E90FB,70002017,60
2024-01-01,BASK7F5383,70002017,110
2024-01-01,BASKEE612D,70002017,45
2024-01-01,BASK4C69DF,70002017,111
2024-01-01,BASK9E4294,70002017,124
2024-01-01,BASKEE32E4,70002017,21
2024-01-01,BASKE57A19,70002017,72
2024-01-01,BASK728A58,70002017,90
