product_code,division,category,product,variant
ARCHDDE20D,Archery,Arrows,PX Carbon Arrow Set,12 Pack
ARCH158F41,Archery,Finger Tab,LX Leather Finger Tab,Universal
ARCHAFF0E4,Archery,Bow,AX Precision Recurve Bow,26 lbs
ARCH6B94F7,Archery,Bow,AX Precision Recurve Bow,30 lbs
ARCH5D1FE7,Archery,Bow Stringer,BX Bow Stringing Tool,Standard
ARCH7B49A9,Archery,Arm Guard,NX Archery Arm Guard,Medium
ARCH497D34,Archery,Target,TX Foam Archery Target,80 cm
ARCHE71D79,Archery,Arm Guard,NX Archery Arm Guard,Large
ARCHDD8749,Archery,Target,TX Foam Archery Target,60 cm
BADMC045D4,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Head Heavy
BADM88C384,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Intermediate
BADMA5EBA3,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Even Balance
BADM4BAB38,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Advanced
BADMDC6AB1,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Even Balance
BADM50C510,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Head Heavy
BADM2459FB,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Flexible Shaft
BADM9DDCED,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Head Light
BADMD11DA6,Badminton,Badminton Racket,BX AeroLite Badminton Racket,4U Weight
BADMDA1B05,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Stiff Shaft
BADM376040,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Flexible Shaft
BADM03A202,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Head Light
BADME151E6,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,4U Weight
BADMDA5EC8,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Advanced
BADM48A260,Badminton,Badminton Racket,BX AeroLite Badminton Racket,Beginner
BADM8FFE12,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,Stiff Shaft
BADM1B8332,Badminton,Badminton Racket,AX PowerDrive Badminton Racket,3U Weight
BADM7E90FB,Badminton,Badminton Racket,BX AeroLite Badminton Racket,3U Weight
BASK7F5383,Basketball,Basketball Jersey,AX DryFit Basketball Jersey,L
BASKEE612D,Basketball,Basketball,BX Grip Indoor Basketball,Size 7
BASK4C69DF,Basketball,Basketball Jersey,AX DryFit Basketball Jersey,M
BASK9E4294,Basketball,Basketball,BX Grip Indoor Basketball,Size 5
